url	pmid	exclude	study	first_author	strain	year	species	cohort	roa	roa_details	n	n_endpoint	n_intercurrent	endpoint	mean_mpi	sd_mpi	range_mpi	animal_comments	cohort_id	year5bin	n_censored	endpointx	roa_group	strain_group	row	dup_status
https://pubmed.ncbi.nlm.nih.gov/10097160/	10097160	include	Natural and experimental oral infection of nonhuman primates by bovine spongiform encephalopathy agents	Bons, N.	BSE	1999	Gray mouse lemur (Microcebus murinus)	1	oral		1	0	0	symptom onset			n/a	lemur was killed by cage mates; inoculated by a single dose of 0.5g BSE	10097160-1	1995	1	2	oral	BSE/vCJD	1	unique
https://pubmed.ncbi.nlm.nih.gov/10097160/	10097160	include	Natural and experimental oral infection of nonhuman primates by bovine spongiform encephalopathy agents	Bons, N.	BSE	1999	Gray mouse lemur (Microcebus murinus)	2	oral		1	1	0	histology			n/a	lemur was sacrificed at 5 months post-inoculation for histology; inoculated by two doses of 0.5g BSE spaced 2 months apart	10097160-2	1995	0	1	oral	BSE/vCJD	2	unique
https://pubmed.ncbi.nlm.nih.gov/10985693	10985693	include	Immunohistochemical detection of apolipoprotein E within prion-associated lesions in squirrel monkey brains	Nakamura S	Scrapie (Sheep)  → Mouse	2000	Spider monkey (Ateles geoffroyi)	1	ic		2	2	0	terminal prion disease	39	4	36-41		10985693-1	2000	0	3	ic	other	3	unique
https://pubmed.ncbi.nlm.nih.gov/10985693	10985693	include	Immunohistochemical detection of apolipoprotein E within prion-associated lesions in squirrel monkey brains	Nakamura S	Scrapie (Sheep)  → Mouse	2000	Spider monkey (Ateles geoffroyi)	1	ic		2	2	0	symptom onset	33	0	33-33		10985693-1	2000	0	2	ic	other	4	duplicate
https://pubmed.ncbi.nlm.nih.gov/11259641/	11259641	include	Adaptation of the bovine spongiform encephalopathy agent to primates and comparison with Creutzfeldt-- Jakob disease: implications for human health.	Lasmézas, C.	BSE	2001	Cynomolgus macaque (Macaca fascicularis)	1	ic		3	3	0	terminal prion disease	38.7	2.3	36-40	25% BH	11259641-1	2000	0	3	ic	BSE/vCJD	5	unique
https://pubmed.ncbi.nlm.nih.gov/11259641/	11259641	include	Adaptation of the bovine spongiform encephalopathy agent to primates and comparison with Creutzfeldt-- Jakob disease: implications for human health.	Lasmézas, C.	Kuru → Cynomolgus macaque	2001	Cynomolgus macaque (Macaca fascicularis)	10	ic		1	1	0	terminal prion disease	24		n/a		11259641-10	2000	0	3	ic	Kuru	6	unique
https://pubmed.ncbi.nlm.nih.gov/11259641/	11259641	include	Adaptation of the bovine spongiform encephalopathy agent to primates and comparison with Creutzfeldt-- Jakob disease: implications for human health.	Lasmézas, C.	Kuru → Cynomolgus macaque	2001	Cynomolgus macaque (Macaca fascicularis)	10	ic		1	1	0	symptom onset	20.5		n/a		11259641-10	2000	0	2	ic	Kuru	7	duplicate
https://pubmed.ncbi.nlm.nih.gov/11259641/	11259641	include	Adaptation of the bovine spongiform encephalopathy agent to primates and comparison with Creutzfeldt-- Jakob disease: implications for human health.	Lasmézas, C.	BSE → Cynomolgus macaque	2001	Cynomolgus macaque (Macaca fascicularis)	2	ic		2	2	0	terminal prion disease	19	1.4	18-20	25% BH	11259641-2	2000	0	3	ic	BSE/vCJD	8	unique
https://pubmed.ncbi.nlm.nih.gov/11259641/	11259641	include	Adaptation of the bovine spongiform encephalopathy agent to primates and comparison with Creutzfeldt-- Jakob disease: implications for human health.	Lasmézas, C.	BSE → Cynomolgus macaque	2001	Cynomolgus macaque (Macaca fascicularis)	3	ic		2	2	0	terminal prion disease	20.5	0.7	20-21	10% BH	11259641-3	2000	0	3	ic	BSE/vCJD	9	unique
https://pubmed.ncbi.nlm.nih.gov/11259641/	11259641	include	Adaptation of the bovine spongiform encephalopathy agent to primates and comparison with Creutzfeldt-- Jakob disease: implications for human health.	Lasmézas, C.	BSE → Cynomolgus macaque	2001	Cynomolgus macaque (Macaca fascicularis)	4	ic		2	2	0	terminal prion disease	20.5	0.7	20-21	IC titration: 10^-1	11259641-4	2000	0	3	ic	BSE/vCJD	10	unique
