species	filename	identity_numerator	identity_denominator	identity_proportion	tile_numerator	tile_denominator	tile_proportion
chimpanzee	human_chimpanzee.aln	14942	15162	0.985490040891703	11512	15142	0.760269449214106
cynomolgus	human_cynomolgus_rcomp.aln	14375	14737	0.97543597747167	4980	14717	0.338384181558742
spider monkey	human_spidermonkey_rcomp.aln	13204	14665	0.900375042618479	2482	14645	0.169477637418914
squirrel monkey	human_squirrelmonkey.aln	12986	14591	0.890000685353985	2182	14571	0.149749502436346
gray mouse lemur	human_graymouselemur.aln	10664	15132	0.704731694422416	367	15112	0.0242853361566967
